iter	Passed	Remaining
0	2	198
1	2	143
2	3	120
3	4	103
4	5	96
5	5	91
6	6	91
7	7	89
8	8	88
9	9	88
10	10	87
11	11	85
12	12	84
13	13	82
14	14	81
15	15	80
16	16	78
17	16	76
18	17	75
19	18	74
20	19	72
21	20	71
22	21	70
23	21	68
24	22	68
25	23	68
26	24	66
27	25	65
28	26	64
29	27	63
30	28	62
31	28	61
32	29	59
33	30	58
34	30	57
35	31	56
36	32	55
37	33	54
38	33	53
39	34	52
40	35	51
41	35	49
42	36	48
43	37	47
44	38	46
45	39	45
46	39	44
47	40	43
48	41	42
49	42	42
50	42	41
51	43	40
52	44	39
53	45	38
54	45	37
55	46	36
56	47	35
57	48	35
58	49	34
59	49	33
60	50	32
61	51	31
62	52	30
63	53	29
64	54	29
65	55	28
66	56	27
67	56	26
68	57	25
69	58	25
70	59	24
71	60	23
72	61	22
73	61	21
74	62	20
75	63	20
76	64	19
77	65	18
78	66	17
79	66	16
80	67	15
81	68	15
82	69	14
83	70	13
84	71	12
85	72	11
86	72	10
87	73	10
88	74	9
89	75	8
90	75	7
91	76	6
92	77	5
93	78	4
94	78	4
95	79	3
96	80	2
97	81	1
98	81	0
99	82	0
